,Pa,D,D_true,REMSE,dist,sample,Pn
638,0.701,5.0913 ,4.4237 ,0.7908,gamma,250,0.6
639,0.715,7.9499 ,4.4237 ,0.7970,gamma,250,0.65
640,0.722,15.4601 ,4.4237 ,0.9056,gamma,250,0.7
641,0.74,8.2999 ,4.4237 ,0.9359,gamma,250,0.75
642,0.773,4.8097 ,4.4237 ,1.0680,gamma,250,0.8
643,0.777,8.2786 ,4.4237 ,1.1191,gamma,250,0.85
644,0.786,4.7954 ,4.4237 ,1.2323,gamma,250,0.9
645,0.803,4.6105 ,4.4237 ,1.3145,gamma,250,0.95
646,0.798,8.5419 ,4.4237 ,1.3788,gamma,250,0.99
647,0.175,4.1617 ,4.4237 ,-0.0775,gamma,2500,0.1
648,0.241,4.2771 ,4.4237 ,-0.0634,gamma,2500,0.15
649,0.27,5.0237 ,4.4237 ,-0.0699,gamma,2500,0.2
650,0.313,4.2595 ,4.4237 ,-0.0676,gamma,2500,0.25
651,0.356,4.2324 ,4.4237 ,-0.0637,gamma,2500,0.3
652,0.386,4.7172 ,4.4237 ,-0.0624,gamma,2500,0.35
653,0.471,5.0084 ,4.4237 ,0.0885,gamma,2500,0.4
654,0.463,4.7130 ,4.4237 ,0.0894,gamma,2500,0.45
655,0.477,4.8033 ,4.4237 ,0.0839,gamma,2500,0.5
656,0.519,4.6353 ,4.4237 ,-0.0635,gamma,2500,0.55
657,0.555,4.9546 ,4.4237 ,0.0723,gamma,2500,0.6
658,0.608,4.5946 ,4.4237 ,0.0821,gamma,2500,0.65
659,0.649,4.7887 ,4.4237 ,0.1321,gamma,2500,0.7
660,0.681,4.8503 ,4.4237 ,0.1375,gamma,2500,0.75
661,0.702,4.5436 ,4.4237 ,0.1381,gamma,2500,0.8
662,0.801,4.4501 ,4.4237 ,0.1065,gamma,2500,0.85
663,0.825,4.6185 ,4.4237 ,0.1404,gamma,2500,0.9
664,0.906,6.0092 ,4.4237 ,0.2647,gamma,2500,0.95
665,0.961,6.2565 ,4.4237 ,0.2617,gamma,2500,0.99
666,0.182,4.0020 ,4.4237 ,-0.1673,gamma,300,0.1
667,0.238,4.2030 ,4.4237 ,-0.1557,gamma,300,0.15
668,0.255,3.9557 ,4.4237 ,-0.1666,gamma,300,0.2
669,0.357,4.8540 ,4.4237 ,0.1980,gamma,300,0.25
670,0.39,3.2314 ,4.4237 ,0.2603,gamma,300,0.3
671,0.469,6.5808 ,4.4237 ,0.2851,gamma,300,0.35
672,0.512,4.4811 ,4.4237 ,0.3220,gamma,300,0.4
673,0.575,4.5244 ,4.4237 ,0.4121,gamma,300,0.45
674,0.603,4.1962 ,4.4237 ,0.4539,gamma,300,0.5
675,0.619,6.9992 ,4.4237 ,0.4821,gamma,300,0.55
676,0.64,5.4869 ,4.4237 ,0.5328,gamma,300,0.6
677,0.678,6.1102 ,4.4237 ,0.6415,gamma,300,0.65
678,0.688,7.3511 ,4.4237 ,0.7077,gamma,300,0.7
679,0.708,7.1029 ,4.4237 ,0.7443,gamma,300,0.75
680,0.698,3.9667 ,4.4237 ,0.8047,gamma,300,0.8
681,0.729,4.3960 ,4.4237 ,0.9059,gamma,300,0.85
682,0.729,4.7687 ,4.4237 ,0.8952,gamma,300,0.9
683,0.737,6.0063 ,4.4237 ,1.0023,gamma,300,0.95
684,0.769,6.7264 ,4.4237 ,1.1116,gamma,300,0.99
685,0.15,3.3448 ,4.4237 ,-0.1697,gamma,350,0.1
686,0.2,3.0940 ,4.4237 ,-0.1484,gamma,350,0.15
687,0.228,5.3896 ,4.4237 ,-0.1526,gamma,350,0.2
688,0.289,4.7665 ,4.4237 ,-0.1763,gamma,350,0.25
689,0.326,4.2745 ,4.4237 ,0.1963,gamma,350,0.3
690,0.392,4.0326 ,4.4237 ,0.2513,gamma,350,0.35
691,0.443,4.1049 ,4.4237 ,0.2604,gamma,350,0.4
692,0.472,5.0464 ,4.4237 ,0.3102,gamma,350,0.45
693,0.529,4.0778 ,4.4237 ,0.3681,gamma,350,0.5
694,0.544,6.3050 ,4.4237 ,0.3778,gamma,350,0.55
695,0.556,5.6256 ,4.4237 ,0.4814,gamma,350,0.6
696,0.605,9.5336 ,4.4237 ,0.5048,gamma,350,0.65
697,0.622,7.5629 ,4.4237 ,0.5283,gamma,350,0.7
698,0.637,5.4184 ,4.4237 ,0.6172,gamma,350,0.75
699,0.652,4.9459 ,4.4237 ,0.6573,gamma,350,0.8
700,0.688,4.8699 ,4.4237 ,0.6722,gamma,350,0.85
701,0.694,6.2580 ,4.4237 ,0.7600,gamma,350,0.9
702,0.722,5.6699 ,4.4237 ,0.8646,gamma,350,0.95
703,0.706,5.2811 ,4.4237 ,0.8276,gamma,350,0.99
704,0.284,3.4093 ,4.4237 ,-0.1688,gamma,400,0.1
705,0.362,4.2275 ,4.4237 ,-0.1426,gamma,400,0.15
706,0.407,4.5761 ,4.4237 ,-0.1413,gamma,400,0.2
707,0.461,4.0639 ,4.4237 ,-0.1483,gamma,400,0.25
708,0.479,3.7250 ,4.4237 ,0.1643,gamma,400,0.3
709,0.574,4.1833 ,4.4237 ,0.1935,gamma,400,0.35
710,0.632,4.1464 ,4.4237 ,0.2342,gamma,400,0.4
711,0.646,5.2822 ,4.4237 ,0.2689,gamma,400,0.45
712,0.681,4.3101 ,4.4237 ,0.3098,gamma,400,0.5
713,0.715,3.5922 ,4.4237 ,0.3413,gamma,400,0.55
714,0.742,5.2995 ,4.4237 ,0.3638,gamma,400,0.6
715,0.774,4.9350 ,4.4237 ,0.4160,gamma,400,0.65
716,0.774,6.9131 ,4.4237 ,0.4637,gamma,400,0.7
717,0.799,6.0272 ,4.4237 ,0.5335,gamma,400,0.75
718,0.808,5.2313 ,4.4237 ,0.5388,gamma,400,0.8
719,0.824,4.3814 ,4.4237 ,0.5923,gamma,400,0.85
720,0.821,4.1221 ,4.4237 ,0.6164,gamma,400,0.9
721,0.825,4.1181 ,4.4237 ,0.6973,gamma,400,0.95
722,0.84,4.6940 ,4.4237 ,0.7375,gamma,400,0.99
723,0.293,4.9859 ,4.4237 ,0.1595,gamma,450,0.1
724,0.329,4.2203 ,4.4237 ,-0.1413,gamma,450,0.15
725,0.386,3.8338 ,4.4237 ,-0.1352,gamma,450,0.2
726,0.445,4.4464 ,4.4237 ,-0.1361,gamma,450,0.25
727,0.477,3.6256 ,4.4237 ,-0.1505,gamma,450,0.3
728,0.5,6.9506 ,4.4237 ,0.1570,gamma,450,0.35
729,0.533,5.4751 ,4.4237 ,0.2007,gamma,450,0.4
730,0.61,4.1459 ,4.4237 ,0.2143,gamma,450,0.45
731,0.639,4.0496 ,4.4237 ,0.2589,gamma,450,0.5
732,0.687,4.0418 ,4.4237 ,0.3051,gamma,450,0.55
733,0.717,3.5091 ,4.4237 ,0.3354,gamma,450,0.6
734,0.717,6.2411 ,4.4237 ,0.3573,gamma,450,0.65
735,0.752,5.3199 ,4.4237 ,0.4113,gamma,450,0.7
736,0.757,4.0696 ,4.4237 ,0.4365,gamma,450,0.75
737,0.786,5.0273 ,4.4237 ,0.5279,gamma,450,0.8
738,0.78,5.7783 ,4.4237 ,0.5084,gamma,450,0.85
739,0.801,4.3572 ,4.4237 ,0.5609,gamma,450,0.9
740,0.812,5.1158 ,4.4237 ,0.6390,gamma,450,0.95
741,0.817,3.5518 ,4.4237 ,0.6251,gamma,450,0.99
742,0.875,30.6684 ,4.4237 ,2.1140,gamma,50,0.1
743,0.911,55.0945 ,4.4237 ,3.3077,gamma,50,0.15
744,0.937,25.3402 ,4.4237 ,4.5190,gamma,50,0.2
745,0.945,10.1142 ,4.4237 ,5.9510,gamma,50,0.25
746,0.949,6.9590 ,4.4237 ,6.9110,gamma,50,0.3
747,0.965,18.1023 ,4.4237 ,8.6224,gamma,50,0.35
748,0.973,8.9552 ,4.4237 ,9.6043,gamma,50,0.4
749,0.971,16.8425 ,4.4237 ,10.0093,gamma,50,0.45
750,0.97,9.3349 ,4.4237 ,11.6846,gamma,50,0.5
751,0.977,50.5043 ,4.4237 ,13.3787,gamma,50,0.55
752,0.979,111.4133 ,4.4237 ,14.9195,gamma,50,0.6
753,0.967,19.2322 ,4.4237 ,15.9860,gamma,50,0.65
754,0.985,43.4854 ,4.4237 ,17.3558,gamma,50,0.7
755,0.984,23.8779 ,4.4237 ,16.8541,gamma,50,0.75
756,0.983,294.2389 ,4.4237 ,20.1932,gamma,50,0.8
757,0.982,13.0654 ,4.4237 ,20.5617,gamma,50,0.85
758,0.983,25.6763 ,4.4237 ,21.3268,gamma,50,0.9
759,0.981,26.8224 ,4.4237 ,23.9279,gamma,50,0.95
760,0.987,42.0116 ,4.4237 ,24.1228,gamma,50,0.99
761,0.256,4.1039 ,4.4237 ,0.1682,gamma,500,0.1
762,0.299,4.1282 ,4.4237 ,0.1582,gamma,500,0.15
763,0.369,4.0757 ,4.4237 ,-0.1299,gamma,500,0.2
764,0.384,4.8891 ,4.4237 ,-0.1262,gamma,500,0.25
765,0.414,5.5340 ,4.4237 ,-0.1294,gamma,500,0.3
766,0.479,5.4487 ,4.4237 ,0.1438,gamma,500,0.35
767,0.533,3.5714 ,4.4237 ,0.1730,gamma,500,0.4
768,0.554,7.0856 ,4.4237 ,0.1869,gamma,500,0.45
769,0.603,4.2928 ,4.4237 ,0.2142,gamma,500,0.5
770,0.66,5.2903 ,4.4237 ,0.2682,gamma,500,0.55
771,0.714,4.7069 ,4.4237 ,0.2856,gamma,500,0.6
772,0.72,4.1086 ,4.4237 ,0.3281,gamma,500,0.65
773,0.716,4.2662 ,4.4237 ,0.3477,gamma,500,0.7
774,0.744,5.2405 ,4.4237 ,0.3886,gamma,500,0.75
775,0.75,3.8960 ,4.4237 ,0.4533,gamma,500,0.8
776,0.788,6.0860 ,4.4237 ,0.4465,gamma,500,0.85
777,0.789,6.1959 ,4.4237 ,0.5133,gamma,500,0.9
778,0.785,6.5745 ,4.4237 ,0.5558,gamma,500,0.95
779,0.825,5.2749 ,4.4237 ,0.5812,gamma,500,0.99
780,0.215,3.8887 ,4.4237 ,0.1623,gamma,600,0.1
781,0.262,5.2065 ,4.4237 ,0.1704,gamma,600,0.15
782,0.303,6.5847 ,4.4237 ,0.1714,gamma,600,0.2
783,0.323,3.9626 ,4.4237 ,-0.1206,gamma,600,0.25
784,0.374,4.9246 ,4.4237 ,-0.1161,gamma,600,0.3
785,0.427,3.8913 ,4.4237 ,-0.1165,gamma,600,0.35
786,0.439,4.7021 ,4.4237 ,0.1360,gamma,600,0.4
787,0.485,5.5264 ,4.4237 ,0.1467,gamma,600,0.45
788,0.501,4.2341 ,4.4237 ,0.1755,gamma,600,0.5
789,0.56,4.0668 ,4.4237 ,0.1923,gamma,600,0.55
790,0.604,4.8656 ,4.4237 ,0.2419,gamma,600,0.6
791,0.646,4.2440 ,4.4237 ,0.2687,gamma,600,0.65
792,0.664,6.8735 ,4.4237 ,0.2920,gamma,600,0.7
793,0.684,6.7538 ,4.4237 ,0.3203,gamma,600,0.75
794,0.718,4.0115 ,4.4237 ,0.3553,gamma,600,0.8
795,0.751,4.0548 ,4.4237 ,0.3932,gamma,600,0.85
796,0.754,4.7301 ,4.4237 ,0.4320,gamma,600,0.9
797,0.754,3.8197 ,4.4237 ,0.4477,gamma,600,0.95
798,0.787,6.0269 ,4.4237 ,0.5135,gamma,600,0.99
799,0.179,4.1493 ,4.4237 ,-0.1237,gamma,700,0.1
800,0.196,4.5891 ,4.4237 ,0.1758,gamma,700,0.15
801,0.217,5.8894 ,4.4237 ,0.1750,gamma,700,0.2
802,0.281,4.3359 ,4.4237 ,0.1661,gamma,700,0.25
803,0.321,3.9240 ,4.4237 ,-0.1164,gamma,700,0.3
804,0.347,4.0797 ,4.4237 ,-0.1136,gamma,700,0.35
805,0.403,4.3322 ,4.4237 ,-0.1102,gamma,700,0.4
806,0.442,4.8015 ,4.4237 ,0.1243,gamma,700,0.45
807,0.462,5.8550 ,4.4237 ,0.1412,gamma,700,0.5
808,0.506,4.8019 ,4.4237 ,0.1586,gamma,700,0.55
809,0.565,4.6951 ,4.4237 ,0.1848,gamma,700,0.6
810,0.583,4.2285 ,4.4237 ,0.2217,gamma,700,0.65
811,0.631,4.9081 ,4.4237 ,0.2475,gamma,700,0.7
812,0.626,4.0638 ,4.4237 ,0.2908,gamma,700,0.75
813,0.673,6.5298 ,4.4237 ,0.3014,gamma,700,0.8
814,0.704,4.3746 ,4.4237 ,0.3276,gamma,700,0.85
815,0.703,4.4240 ,4.4237 ,0.3537,gamma,700,0.9
816,0.753,9.8761 ,4.4237 ,0.4100,gamma,700,0.95
817,0.763,4.4346 ,4.4237 ,0.4094,gamma,700,0.99
818,0.758,6.6434 ,4.4237 ,0.9537,gamma,75,0.1
819,0.798,5.3099 ,4.4237 ,1.4023,gamma,75,0.15
820,0.871,11.4212 ,4.4237 ,2.0008,gamma,75,0.2
821,0.893,17.2675 ,4.4237 ,2.6897,gamma,75,0.25
822,0.912,18.0859 ,4.4237 ,3.3607,gamma,75,0.3
823,0.929,22.2908 ,4.4237 ,3.7512,gamma,75,0.35
824,0.916,10.7368 ,4.4237 ,4.2501,gamma,75,0.4
825,0.942,37.8791 ,4.4237 ,4.8428,gamma,75,0.45
826,0.95,36.6405 ,4.4237 ,5.5591,gamma,75,0.5
827,0.953,5.1846 ,4.4237 ,6.1325,gamma,75,0.55
828,0.956,8.7386 ,4.4237 ,6.3978,gamma,75,0.6
829,0.953,15.3352 ,4.4237 ,7.1546,gamma,75,0.65
830,0.956,24.0911 ,4.4237 ,8.1474,gamma,75,0.7
831,0.955,45.5173 ,4.4237 ,7.5882,gamma,75,0.75
832,0.971,14.3079 ,4.4237 ,8.3446,gamma,75,0.8
833,0.968,14.7499 ,4.4237 ,10.1751,gamma,75,0.85
834,0.967,6.2144 ,4.4237 ,10.2628,gamma,75,0.9
835,0.969,11.8235 ,4.4237 ,10.1570,gamma,75,0.95
836,0.967,112.7828 ,4.4237 ,11.3820,gamma,75,0.99
837,0.26,3.8463 ,4.4237 ,-0.1203,gamma,800,0.1
838,0.338,3.7778 ,4.4237 ,-0.1080,gamma,800,0.15
839,0.374,5.5170 ,4.4237 ,0.1903,gamma,800,0.2
840,0.449,4.5104 ,4.4237 ,0.1781,gamma,800,0.25
841,0.461,5.2589 ,4.4237 ,0.1845,gamma,800,0.3
842,0.491,4.5664 ,4.4237 ,0.1879,gamma,800,0.35
843,0.53,3.9928 ,4.4237 ,-0.1021,gamma,800,0.4
844,0.603,4.5620 ,4.4237 ,-0.1074,gamma,800,0.45
845,0.604,4.6790 ,4.4237 ,0.1172,gamma,800,0.5
846,0.647,5.9236 ,4.4237 ,0.1339,gamma,800,0.55
847,0.68,4.8415 ,4.4237 ,0.1692,gamma,800,0.6
848,0.713,7.9387 ,4.4237 ,0.1908,gamma,800,0.65
849,0.753,6.3669 ,4.4237 ,0.2146,gamma,800,0.7
850,0.751,4.1969 ,4.4237 ,0.2473,gamma,800,0.75
851,0.788,4.5023 ,4.4237 ,0.2669,gamma,800,0.8
852,0.838,5.7383 ,4.4237 ,0.3135,gamma,800,0.85
853,0.826,4.0829 ,4.4237 ,0.3204,gamma,800,0.9
854,0.81,4.7313 ,4.4237 ,0.3568,gamma,800,0.95
855,0.862,5.4902 ,4.4237 ,0.4075,gamma,800,0.99
856,0.24,3.9690 ,4.4237 ,-0.1244,gamma,900,0.1
857,0.28,4.6729 ,4.4237 ,-0.1091,gamma,900,0.15
858,0.318,4.2690 ,4.4237 ,-0.1021,gamma,900,0.2
859,0.342,4.8045 ,4.4237 ,0.1674,gamma,900,0.25
860,0.382,5.1208 ,4.4237 ,0.1928,gamma,900,0.3
861,0.45,5.7208 ,4.4237 ,0.1819,gamma,900,0.35
862,0.457,5.6794 ,4.4237 ,0.1834,gamma,900,0.4
863,0.515,4.2864 ,4.4237 ,-0.1029,gamma,900,0.45
864,0.571,4.4223 ,4.4237 ,0.1069,gamma,900,0.5
865,0.602,4.7968 ,4.4237 ,0.1189,gamma,900,0.55
866,0.652,5.3316 ,4.4237 ,0.1369,gamma,900,0.6
867,0.644,5.0437 ,4.4237 ,0.1630,gamma,900,0.65
868,0.659,7.1033 ,4.4237 ,0.1898,gamma,900,0.7
869,0.758,4.1392 ,4.4237 ,0.2219,gamma,900,0.75
870,0.765,5.5917 ,4.4237 ,0.2681,gamma,900,0.8
871,0.816,5.4256 ,4.4237 ,0.2775,gamma,900,0.85
872,0.816,7.8399 ,4.4237 ,0.3205,gamma,900,0.9
873,0.823,5.3377 ,4.4237 ,0.3380,gamma,900,0.95
874,0.839,4.8737 ,4.4237 ,0.3677,gamma,900,0.99
875,0.592,315.4101 ,20.0357 ,1.3606,lognorm,100,0.1
876,0.694,15.4937 ,20.0357 ,1.7641,lognorm,100,0.15
877,0.74,5.4998 ,20.0357 ,2.5123,lognorm,100,0.2
878,0.793,9.8495 ,20.0357 ,2.8887,lognorm,100,0.25
879,0.82,26.4115 ,20.0357 ,3.6660,lognorm,100,0.3
880,0.84,15.2033 ,20.0357 ,4.8936,lognorm,100,0.35
881,0.856,26.1508 ,20.0357 ,4.9426,lognorm,100,0.4
882,0.88,56.1538 ,20.0357 ,6.1365,lognorm,100,0.45
883,0.896,271.9679 ,20.0357 ,5.6907,lognorm,100,0.5
884,0.892,108.1577 ,20.0357 ,6.8613,lognorm,100,0.55
885,0.903,108.5761 ,20.0357 ,8.2095,lognorm,100,0.6
886,0.91,19.4613 ,20.0357 ,8.2131,lognorm,100,0.65
887,0.929,32.5206 ,20.0357 ,9.4803,lognorm,100,0.7
888,0.921,427.4575 ,20.0357 ,9.3605,lognorm,100,0.75
889,0.92,15.2930 ,20.0357 ,10.7008,lognorm,100,0.8
890,0.936,1153.6479 ,20.0357 ,12.2030,lognorm,100,0.85
891,0.936,12.2411 ,20.0357 ,12.2913,lognorm,100,0.9
892,0.938,449.8471 ,20.0357 ,13.1665,lognorm,100,0.95
893,0.947,125.6082 ,20.0357 ,15.8718,lognorm,100,0.99
894,0.18,16.5394 ,20.0357 ,-0.2425,lognorm,1000,0.1
895,0.22,17.4207 ,20.0357 ,-0.2409,lognorm,1000,0.15
896,0.266,20.4721 ,20.0357 ,-0.2211,lognorm,1000,0.2
897,0.329,16.5792 ,20.0357 ,-0.2301,lognorm,1000,0.25
898,0.335,18.9445 ,20.0357 ,0.6809,lognorm,1000,0.3
899,0.36,48.1360 ,20.0357 ,0.6965,lognorm,1000,0.35
900,0.416,23.6775 ,20.0357 ,0.7188,lognorm,1000,0.4
901,0.461,39.5059 ,20.0357 ,0.6156,lognorm,1000,0.45
902,0.494,32.0800 ,20.0357 ,0.6423,lognorm,1000,0.5
903,0.584,13.5834 ,20.0357 ,0.2988,lognorm,1000,0.55
904,0.581,18.2313 ,20.0357 ,0.3646,lognorm,1000,0.6
905,0.642,26.7209 ,20.0357 ,0.4975,lognorm,1000,0.65
906,0.676,23.2774 ,20.0357 ,0.5435,lognorm,1000,0.7
907,0.676,44.9336 ,20.0357 ,0.6585,lognorm,1000,0.75
908,0.712,16.4999 ,20.0357 ,0.8638,lognorm,1000,0.8
909,0.742,15.2999 ,20.0357 ,0.8400,lognorm,1000,0.85
910,0.809,14.1950 ,20.0357 ,1.2494,lognorm,1000,0.9
911,0.801,36.5706 ,20.0357 ,1.2993,lognorm,1000,0.95
912,0.792,60.3528 ,20.0357 ,1.3242,lognorm,1000,0.99
913,0.493,12.5707 ,20.0357 ,0.7314,lognorm,125,0.1
914,0.591,52.9921 ,20.0357 ,1.3015,lognorm,125,0.15
915,0.68,23.2344 ,20.0357 ,1.6809,lognorm,125,0.2
916,0.745,17.3121 ,20.0357 ,2.3276,lognorm,125,0.25
917,0.748,41.1791 ,20.0357 ,2.8787,lognorm,125,0.3
918,0.804,73.7432 ,20.0357 ,3.2451,lognorm,125,0.35
919,0.79,111.3196 ,20.0357 ,3.8021,lognorm,125,0.4
920,0.819,23.1879 ,20.0357 ,3.6907,lognorm,125,0.45
921,0.831,50.9631 ,20.0357 ,4.1864,lognorm,125,0.5
922,0.849,92.8790 ,20.0357 ,6.8589,lognorm,125,0.55
923,0.854,38.3984 ,20.0357 ,5.4055,lognorm,125,0.6
924,0.854,17.3201 ,20.0357 ,6.2522,lognorm,125,0.65
925,0.878,31.1156 ,20.0357 ,6.5578,lognorm,125,0.7
926,0.895,37.6124 ,20.0357 ,7.1785,lognorm,125,0.75
927,0.886,996.5217 ,20.0357 ,7.1471,lognorm,125,0.8
928,0.9,188.8317 ,20.0357 ,8.2216,lognorm,125,0.85
929,0.912,16.4779 ,20.0357 ,9.2044,lognorm,125,0.9
930,0.917,68.8772 ,20.0357 ,8.4836,lognorm,125,0.95
931,0.914,124.7223 ,20.0357 ,10.1166,lognorm,125,0.99
932,0.214,14.2868 ,20.0357 ,-0.2150,lognorm,1250,0.1
933,0.272,16.5008 ,20.0357 ,0.2630,lognorm,1250,0.15
934,0.31,17.4792 ,20.0357 ,0.3126,lognorm,1250,0.2
935,0.366,16.5074 ,20.0357 ,0.2725,lognorm,1250,0.25
936,0.406,13.4354 ,20.0357 ,-0.2057,lognorm,1250,0.3
937,0.458,10.9172 ,20.0357 ,-0.2064,lognorm,1250,0.35
938,0.464,16.2599 ,20.0357 ,0.2441,lognorm,1250,0.4
939,0.51,23.4969 ,20.0357 ,0.7939,lognorm,1250,0.45
940,0.572,36.5779 ,20.0357 ,0.8235,lognorm,1250,0.5
941,0.573,32.5838 ,20.0357 ,0.7118,lognorm,1250,0.55
942,0.622,28.7492 ,20.0357 ,0.7331,lognorm,1250,0.6
943,0.614,29.5944 ,20.0357 ,0.7079,lognorm,1250,0.65
944,0.721,21.7823 ,20.0357 ,0.3389,lognorm,1250,0.7
945,0.774,19.2449 ,20.0357 ,0.4121,lognorm,1250,0.75
946,0.789,55.6774 ,20.0357 ,0.5638,lognorm,1250,0.8
947,0.802,16.2687 ,20.0357 ,0.7884,lognorm,1250,0.85
948,0.857,18.6108 ,20.0357 ,0.9490,lognorm,1250,0.9
949,0.869,47.7294 ,20.0357 ,1.0325,lognorm,1250,0.95
950,0.908,29.0586 ,20.0357 ,1.2546,lognorm,1250,0.99
951,0.403,7.7098 ,20.0357 ,-0.6156,lognorm,150,0.1
952,0.51,10.0002 ,20.0357 ,0.9184,lognorm,150,0.15
953,0.57,19.0134 ,20.0357 ,1.1372,lognorm,150,0.2
954,0.649,13.6571 ,20.0357 ,1.9161,lognorm,150,0.25
955,0.694,13.3608 ,20.0357 ,1.8745,lognorm,150,0.3
956,0.741,26.1095 ,20.0357 ,2.5373,lognorm,150,0.35
957,0.733,15.2433 ,20.0357 ,2.6627,lognorm,150,0.4
958,0.771,37.7475 ,20.0357 ,2.7704,lognorm,150,0.45
959,0.779,70.2942 ,20.0357 ,3.4233,lognorm,150,0.5
960,0.82,41.7293 ,20.0357 ,3.5600,lognorm,150,0.55
961,0.814,34.1854 ,20.0357 ,3.5210,lognorm,150,0.6
962,0.835,29.7174 ,20.0357 ,4.8566,lognorm,150,0.65
963,0.832,86.7837 ,20.0357 ,5.8476,lognorm,150,0.7
964,0.852,77.4980 ,20.0357 ,5.3607,lognorm,150,0.75
965,0.867,22.0711 ,20.0357 ,5.7884,lognorm,150,0.8
966,0.864,41.9916 ,20.0357 ,5.5717,lognorm,150,0.85
967,0.863,81.8824 ,20.0357 ,6.7579,lognorm,150,0.9
968,0.892,66.0722 ,20.0357 ,6.6424,lognorm,150,0.95
969,0.884,34.7626 ,20.0357 ,6.8096,lognorm,150,0.99
970,0.251,15.6605 ,20.0357 ,-0.2160,lognorm,1500,0.1
971,0.32,18.3806 ,20.0357 ,-0.1958,lognorm,1500,0.15
972,0.39,21.6247 ,20.0357 ,-0.1936,lognorm,1500,0.2
973,0.389,17.5450 ,20.0357 ,0.2863,lognorm,1500,0.25
974,0.416,22.0181 ,20.0357 ,0.2855,lognorm,1500,0.3
975,0.484,25.5794 ,20.0357 ,0.3034,lognorm,1500,0.35
976,0.507,25.9257 ,20.0357 ,-0.1884,lognorm,1500,0.4
977,0.577,18.4999 ,20.0357 ,0.2094,lognorm,1500,0.45
978,0.586,16.9419 ,20.0357 ,0.2474,lognorm,1500,0.5
979,0.637,31.2069 ,20.0357 ,0.2745,lognorm,1500,0.55
980,0.646,27.2477 ,20.0357 ,0.7505,lognorm,1500,0.6
981,0.713,21.0910 ,20.0357 ,0.8507,lognorm,1500,0.65
982,0.728,30.2571 ,20.0357 ,0.8202,lognorm,1500,0.7
983,0.766,36.2490 ,20.0357 ,0.7886,lognorm,1500,0.75
984,0.834,19.1925 ,20.0357 ,0.3642,lognorm,1500,0.8
985,0.87,19.9055 ,20.0357 ,0.5850,lognorm,1500,0.85
986,0.889,18.0446 ,20.0357 ,0.7053,lognorm,1500,0.9
987,0.919,28.0215 ,20.0357 ,0.9781,lognorm,1500,0.95
988,0.939,17.5411 ,20.0357 ,1.1941,lognorm,1500,0.99
989,0.188,26.8503 ,20.0357 ,-0.1880,lognorm,1750,0.1
990,0.23,21.3936 ,20.0357 ,-0.2052,lognorm,1750,0.15
991,0.279,15.1797 ,20.0357 ,-0.1836,lognorm,1750,0.2
992,0.289,17.3894 ,20.0357 ,-0.1727,lognorm,1750,0.25
993,0.348,19.8060 ,20.0357 ,-0.1918,lognorm,1750,0.3
994,0.4,20.3536 ,20.0357 ,0.3238,lognorm,1750,0.35
995,0.433,20.4305 ,20.0357 ,0.3517,lognorm,1750,0.4
996,0.463,26.8835 ,20.0357 ,0.3352,lognorm,1750,0.45
997,0.504,21.4027 ,20.0357 ,0.3362,lognorm,1750,0.5
998,0.557,20.3372 ,20.0357 ,0.1994,lognorm,1750,0.55
999,0.589,20.0973 ,20.0357 ,0.2377,lognorm,1750,0.6
1000,0.623,21.5812 ,20.0357 ,0.2886,lognorm,1750,0.65
1001,0.645,22.6630 ,20.0357 ,0.8542,lognorm,1750,0.7
1002,0.693,27.4169 ,20.0357 ,0.9145,lognorm,1750,0.75
1003,0.745,53.5151 ,20.0357 ,0.9573,lognorm,1750,0.8
1004,0.797,36.5249 ,20.0357 ,0.8701,lognorm,1750,0.85
1005,0.856,31.9278 ,20.0357 ,0.5835,lognorm,1750,0.9
1006,0.899,16.7881 ,20.0357 ,0.8604,lognorm,1750,0.95
1007,0.92,30.6675 ,20.0357 ,1.1818,lognorm,1750,0.99
1008,0.236,37.0903 ,20.0357 ,-0.4139,lognorm,200,0.1
1009,0.345,9.9362 ,20.0357 ,0.6076,lognorm,200,0.15
1010,0.447,15.4417 ,20.0357 ,0.7863,lognorm,200,0.2
1011,0.516,22.0422 ,20.0357 ,1.4513,lognorm,200,0.25
1012,0.561,26.5555 ,20.0357 ,1.2354,lognorm,200,0.3
1013,0.607,31.5216 ,20.0357 ,1.5328,lognorm,200,0.35
1014,0.638,20.0895 ,20.0357 ,2.2242,lognorm,200,0.4
1015,0.684,46.5098 ,20.0357 ,2.1765,lognorm,200,0.45
1016,0.717,13.0027 ,20.0357 ,2.2492,lognorm,200,0.5
1017,0.728,16.1710 ,20.0357 ,2.3626,lognorm,200,0.55
1018,0.754,37.4012 ,20.0357 ,2.8645,lognorm,200,0.6
1019,0.759,36.3930 ,20.0357 ,2.6944,lognorm,200,0.65
1020,0.792,27.2586 ,20.0357 ,3.3545,lognorm,200,0.7
1021,0.781,13.8311 ,20.0357 ,3.4042,lognorm,200,0.75
1022,0.793,50.6936 ,20.0357 ,3.5394,lognorm,200,0.8
1023,0.797,85.4447 ,20.0357 ,4.3449,lognorm,200,0.85
1024,0.816,101.0631 ,20.0357 ,4.6405,lognorm,200,0.9
1025,0.832,75.1249 ,20.0357 ,4.8501,lognorm,200,0.95
1026,0.811,118.3875 ,20.0357 ,4.6462,lognorm,200,0.99
